Fecha,grado,toma combi,N de combis,dinero invertido,distancia,tiempo,Sexo
2021/05/12 7:35:13 p. m. GMT-5,2,Sí,3 a 4,500,16,1 hora,Hombre
2021/05/12 7:58:11 p. m. GMT-5,6,Sí,más de 6,150,17,2 horas o más,Hombre
2021/05/13 11:15:56 a. m. GMT-5,6,Sí,4 a 6,100,35,1 hora y 30 min,Mujer
2021/05/15 5:55:23 p. m. GMT-5,3,Sí,3 a 4,100,10,1 hora y 30 min,Mujer
2021/05/16 2:07:33 p. m. GMT-5,4,Sí,4 a 6,88,49.9,2 horas o más,Hombre
2021/05/15 8:00:33 p. m. GMT-5,10,Sí,más de 6,86,18.6,2 horas o más,Hombre
2021/05/14 10:26:43 p. m. GMT-5,10,Sí,más de 6,84,16.3,2 horas o más,Hombre
2021/05/15 12:46:16 a. m. GMT-5,8,Sí,más de 6,84,16.4,2 horas o más,Mujer
2021/05/12 8:20:04 p. m. GMT-5,3,Sí,3 a 4,80,14,1 hora y 30 min,Hombre
2021/05/14 10:25:19 p. m. GMT-5,1,Sí,más de 6,75,16.1,2 horas o más,Mujer
2021/05/15 3:03:48 p. m. GMT-5,8,Sí,4 a 6,72,15.8,1 hora y 30 min,Mujer
2021/05/13 11:22:12 a. m. GMT-5,8,Sí,3 a 4,70,30,1 hora y 30 min,Hombre
2021/05/16 1:37:30 p. m. GMT-5,4,Sí,4 a 6,70,50,2 horas o más,Mujer
2021/05/16 2:04:02 p. m. GMT-5,6,Sí,3 a 4,68,33.9,1 hora,Hombre
2021/05/16 2:15:56 p. m. GMT-5,2,Sí,3 a 4,68,29,1 hora y 30 min,Hombre
2021/05/16 2:23:37 p. m. GMT-5,9,Sí,3 a 4,68,26,1 hora y 30 min,Hombre
2021/05/15 3:49:01 p. m. GMT-5,11,Sí,4 a 6,67,15.8,1 hora y 30 min,Hombre
2021/05/14 10:25:58 p. m. GMT-5,8,Sí,más de 6,66,15.8,2 horas o más,Mujer
2021/05/14 10:56:16 p. m. GMT-5,7,Sí,4 a 6,65,15.4,1 hora y 30 min,Mujer
2021/05/14 10:22:54 p. m. GMT-5,10,Sí,más de 6,63,16,2 horas o más,Mujer
2021/05/12 7:41:08 p. m. GMT-5,9,Sí,3 a 4,60,18,2 horas o más,Hombre
2021/05/12 7:46:45 p. m. GMT-5,9,Sí,4 a 6,60,18,1 hora,Hombre
2021/05/12 7:51:45 p. m. GMT-5,3,Sí,3 a 4,60,18,1 hora y 30 min,Hombre
2021/05/13 11:12:52 a. m. GMT-5,12,Sí,3 a 4,60,35,1 hora y 30 min,Hombre
2021/05/13 11:18:43 a. m. GMT-5,6,Sí,3 a 4,60,50,2 horas o más,Hombre
2021/05/13 11:29:19 a. m. GMT-5,8,Sí,3 a 4,60,25.5,1 hora,Hombre
2021/05/14 10:12:26 p. m. GMT-5,8,Sí,más de 6,60,16,2 horas o más,Hombre
2021/05/15 4:08:01 p. m. GMT-5,13,Sí,4 a 6,60,17.8,2 horas o más,Hombre
2021/05/16 2:17:20 p. m. GMT-5,2,Sí,4 a 6,60,17.9,1 hora y 30 min,Mujer
2021/05/16 2:19:25 p. m. GMT-5,8,Sí,3 a 4,60,25,1 hora y 30 min,Hombre
2021/05/15 1:00:43 a. m. GMT-5,9,Sí,4 a 6,57,14.4,1 hora y 30 min,Mujer
2021/05/14 10:07:33 p. m. GMT-5,8,Sí,4 a 6,56,15,1 hora y 30 min,Mujer
2021/05/16 2:12:10 p. m. GMT-5,6,Sí,3 a 4,56,27.6,1 hora y 30 min,Hombre
2021/05/16 2:22:01 p. m. GMT-5,4,Sí,3 a 4,55,22.9,1 hora,Hombre
2021/05/14 10:17:47 p. m. GMT-5,1,Sí,4 a 6,54,13.4,1 hora y 30 min,Hombre
2021/05/14 10:19:17 p. m. GMT-5,1,Sí,4 a 6,54,15.6,2 horas o más,Mujer
2021/05/12 8:17:24 p. m. GMT-5,3,Sí,2,50,10.5,30 min,Hombre
2021/05/12 8:34:04 p. m. GMT-5,6,Sí,3 a 4,50,16,1 hora,Hombre
2021/05/12 8:51:22 p. m. GMT-5,6,Sí,2,50,17,1 hora y 30 min,Hombre
2021/05/13 11:19:36 a. m. GMT-5,8,Sí,3 a 4,50,26.9,1 hora,Hombre
2021/05/13 12:58:49 p. m. GMT-5,6,Sí,3 a 4,50,30,1 hora y 30 min,Hombre
2021/05/15 8:05:32 p. m. GMT-5,7,Sí,3 a 4,50,15.4,1 hora y 30 min,Mujer
2021/05/16 2:09:53 p. m. GMT-5,4,Sí,3 a 4,50,24.5,1 hora,Hombre
