N de combis,distancia,Sexo
4,16,Hombre
6,17,Hombre
4,35,Mujer
3,10,Mujer
4,49.9,Hombre
6,18.6,Hombre
6,16.3,Hombre
6,16.4,Mujer
4,14,Hombre
6,16.1,Mujer
4,15.8,Mujer
3,30,Hombre
6,50,Mujer
4,33.9,Hombre
4,29,Hombre
4,26,Hombre
5,15.8,Hombre
6,15.8,Mujer
5,15.4,Mujer
6,16,Mujer
4,18,Hombre
5,18,Hombre
4,18,Hombre
4,35,Hombre
4,50,Hombre
4,25.5,Hombre
6,16,Hombre
4,17.8,Hombre
6,17.9,Mujer
4,25,Hombre
6,14.4,Mujer
5,15,Mujer
4,27.6,Hombre
4,22.9,Hombre
5,13.4,Hombre
5,15.6,Mujer
4,10.5,Hombre
4,16,Hombre
2,17,Hombre
4,26.9,Hombre
4,30,Hombre
4,15.4,Mujer
4,24.5,Hombre
4,19,Mujer
3,35.5,Hombre
3,18,Hombre
5,15.4,Mujer
4,15.7,Hombre
3,15.4,Hombre
4,15.2,Mujer
4,17,Hombre
4,15.5,Hombre
5,15.7,Hombre
5,15.1,Hombre
5,15.4,Hombre
2,16.3,Hombre
2,17.4,Hombre
4,15,Hombre
4,13.5,Mujer
5,15.56,Mujer
4,14.8,Mujer
5,14.7,Mujer
5,15.4,Mujer
5,17,Mujer
5,15.2,Hombre
5,15.2,Mujer
4,15,Hombre
4,17.7,Hombre
4,15,Hombre
4,15.2,Hombre
4,15,Hombre
3,15.4,Mujer
3,14.8,Hombre
3,15.9,Hombre
2,16.5,Hombre
3,20,Mujer
3,15,Hombre
4,15.3,Hombre
3,15,Hombre
4,15.4,Mujer
4,15.4,Mujer
3,15,Hombre
3,15.3,Mujer
3,18.6,Hombre
3,15.6,Hombre
3,13.5,Hombre
3,15,Mujer
3,15.4,Mujer
3,15.4,Mujer
3,15,Mujer
3,15.3,Hombre
3,15.7,Mujer
3,16.8,Hombre
3,14.6,Hombre
3,11.4,Hombre
2,15,Hombre
2,10.5,Hombre
2,5.9,Hombre
2,13.6,Hombre
3,5-10,Hombre
3,12.5,Mujer
2,13.6,Hombre
2,14.87,Mujer
2,10.3,Mujer
2,9.6,Mujer
2,8.5,Hombre
3,10.5,Mujer
2,5.5,Hombre
2,10.8,Hombre
2,5,Hombre
2,3.8,Mujer
2,2.9,Hombre
2,15,Hombre
2,10,Mujer
3,2.5,Mujer
2,3.7,Hombre
2,10,Mujer
2,1.9,Hombre
2,1.8,Mujer
2,2,Mujer
2,3.5,Mujer
2,2.7,Mujer
2,5,Hombre
2,2.6,Hombre
2,2.8,Mujer
2,1.86,Hombre
2,6.7,Hombre
2,2.2,Hombre
2,1.94,Hombre
2,2.4,Mujer
2,1.7,Mujer
2,2.4,Hombre
2,3.6,Mujer
2,1.8,Hombre
2,1.6,Hombre
2,1.67,Mujer
2,2.1,Hombre
2,7,Mujer
2,3.4,Hombre
2,3.8,Mujer
2,0.5,Hombre
2,4.6,Hombre
2,3,Hombre
0,1.1,Mujer
0,0.8,Hombre
0,1,Hombre
0,0.96,Mujer
0,1,Hombre
0,0.7,Hombre
0,1,Hombre
0,0.6,Mujer
0,0.87,Hombre
0,1.2,Mujer
0,1.31,Hombre
0,0.85,Mujer
0,0.78,Hombre
0,1.3,Mujer
0,1.2,Hombre
0,1,Mujer
0,0.85,Hombre
0,0.6,Mujer
0,1.4,Hombre
0,0.88,Hombre
0,0.77,Hombre
0,1.23,Mujer
0,0.88,Hombre
0,1.23,Hombre
0,0.94,Mujer
0,0.74,Hombre
0,1.4,Mujer
0,0.78,Hombre
0,1.32,Hombre
0,0.68,Mujer
0,1.3,Hombre
0,1.3,Hombre
0,2,Mujer
0,4.7,Hombre
0,2,Mujer
0,2,Mujer
0,1.7,Hombre
0,1.4,Hombre
0,2.2,Mujer
0,2,Hombre
0,2.1,Hombre
0,1.9,Hombre
0,0.9,Mujer
0,1,Hombre
0,1.4,Hombre
0,2.7,Mujer
0,2,Hombre
0,1.8,Mujer
0,1.3,Mujer
0,2,Hombre
0,1.4,Hombre
0,3,Mujer
0,2.4,Hombre
0,3.6,Mujer
0,2,Mujer
0,3.2,Hombre
0,1.7,Mujer
